start_s,end_s,center_s,raw_mean_cm,raw_median_cm,raw_std_cm,raw_n,right_mean_cm,right_median_cm,right_std_cm,right_n,left_mean_cm,left_median_cm,left_std_cm,left_n,right_energy,left_energy,left_over_right_energy,right_fft_coarse_lambda_cm
12.0,13.8,12.9,22.10936485804252,21.04069697229925,1.9973289481465457,54,21.690870552537007,21.694847041411553,1.1744506005738695,54,22.317799142143784,23.522334351171057,3.5037599191650717,54,1742600500.5007591,119995199.13875708,0.06885984429837756,23.038022807480097
12.6,14.4,13.5,22.367026077352637,21.81698678176748,1.749923052448697,54,22.356569862014393,22.65933821544709,0.7657685245772639,54,22.506098987781918,23.124407838292953,3.364497450313248,54,1343540833.8055034,80949707.86548741,0.06025102165015852,23.038022807480097
13.2,15.0,14.1,22.565506290881224,21.924660330224444,1.4035209378913878,54,22.50960975440133,22.64095398937139,0.6310425196392604,54,22.79111603967493,23.69324009707228,3.3445016088870747,54,1357147260.657807,108277847.74277723,0.07978341841127479,23.038022807480097
13.8,15.6,14.7,21.845651609069417,21.808106798889124,0.3381778310333789,54,22.099694601011528,22.19150225951704,0.9703578990503742,54,22.437856044510067,22.96721258612094,3.660529679518728,54,1634334187.1657548,126192784.1956961,0.07721357430241259,23.038022807480097
14.4,16.2,15.3,21.82874336403928,21.811521265281,0.2379812553134488,54,22.04107449769164,22.154000977657052,0.987479346559359,54,22.895803238857855,23.554498003222875,3.7465368457775945,54,1796470214.7294092,124093165.89134529,0.06907610539484321,23.038022807480097
15.0,16.8,15.9,21.092831302480107,21.67982386580778,1.1318045018121876,54,21.879060696312497,21.963214457208338,1.0009714191252383,54,22.704634740494974,23.117536242907896,3.7203230322551213,54,1785531859.6365314,127808670.52471074,0.07158016802384466,23.038022807480097
15.6,17.4,16.5,21.170102478038935,21.394131871071412,1.5445164052997757,54,22.002440452824143,21.9363518155222,1.4165890703563548,54,22.19715358422424,22.509508009317734,4.0428137032599984,54,1723267038.124588,185953046.8219235,0.10790727305055059,23.038022807480097
16.2,18.0,17.1,21.44193033334276,21.39307052189912,1.972397952091259,54,21.902647352529907,21.86137052722982,1.3775324987290984,54,20.987296482635475,21.106911078915257,3.569918803201317,54,1606689148.9730105,226033236.0725088,0.1406826181760102,23.038022807480097
16.8,18.6,17.700000000000003,22.262851068017447,21.936891621725014,1.4870568755196976,54,22.217350060278868,22.290887172946803,1.3836957798897174,54,21.65241014659604,22.258620553671218,3.6025383838309657,54,1741983203.3480659,167831779.2205639,0.0963452339253293,23.038022807480097
17.4,19.2,18.299999999999997,22.060689211494363,21.713690975562727,1.220205799123255,54,22.56004720478497,22.508975722957274,0.6796328844934051,54,21.4522500038095,21.277420189683586,3.1549307014577574,54,1865398353.3377295,293561160.2458639,0.1573718341289405,23.038022807480097
18.0,19.8,18.9,21.675299783053546,21.639393050162525,0.7714245363717713,54,22.706316369892967,22.665203245068316,0.7033650125042927,54,22.157696381385634,22.468539256270798,3.4891740433471483,54,1930183209.830665,189498584.46710968,0.0981764754257366,23.038022807480097
18.6,20.4,19.5,21.381055805777265,21.3178965691009,0.39646254312105333,54,22.592554437783765,22.603955877451607,0.6894039106110417,54,21.994483763192537,22.27709631255016,3.514307925824363,54,2305999258.2924004,97011375.80391231,0.04206912706283763,23.038022807480097
19.2,21.0,20.1,21.332969069996974,21.3178965691009,0.6050322183191794,54,22.28660437251375,22.321282586334707,0.6892424690446767,54,21.525372129770695,21.299842702006288,3.5795723743426424,54,2286043833.4083414,355376803.70062363,0.15545493857428802,23.038022807480097
19.8,21.6,20.700000000000003,21.445194342520455,21.588239560071003,0.6112759036352817,54,22.32366307611769,22.369415171436703,0.5389542408107331,54,20.58416374004967,20.251632825260035,2.790257031826403,54,2063849862.3984213,410028054.74862653,0.19867145484707335,23.038022807480097
20.4,22.2,21.299999999999997,21.908687390139796,21.90906151448673,0.8732487016341371,54,22.351806047109648,22.456932820643107,0.5308473892018881,54,20.59812019172284,20.251632825260035,2.8122964094128666,54,1394701323.0536494,74023489.0098837,0.0530747965792503,23.038022807480097
21.0,22.8,21.9,22.05176545092158,21.981254886347557,0.6428439891205359,54,22.507049588559546,22.521120814559623,0.4303013753110111,54,20.809160744956483,20.28703833854776,3.036351494404714,54,2054140405.906376,445759221.78305984,0.21700523513453382,23.038022807480097
21.6,23.4,22.5,21.964803973440386,21.88525920908929,0.7827733122956109,54,22.427823258449664,22.373466599977448,0.5593700301625844,54,21.331351114485333,21.166618269033016,3.726116036526074,54,2550268893.731544,625207748.2909245,0.24515365804274972,23.038022807480097
22.2,24.0,23.1,21.68118914241451,21.57954207660076,0.5731885032146536,54,22.495735254194507,22.483963112918744,0.6136294258467211,54,20.311081293443777,19.42809557941145,3.6898862685431646,54,2165644517.463854,180484507.55209392,0.08333985845629734,23.038022807480097
22.8,24.6,23.700000000000003,21.677534554438726,21.75042499298196,0.7708750411068517,54,22.804645762669054,22.866316837599737,0.84222312676244,54,19.541472113846968,17.65770549064012,3.7576613514304453,54,2113659928.9937258,359791015.9549167,0.17022180863607825,23.038022807480097
23.4,25.2,24.299999999999997,21.834282173136813,21.91320173361823,0.8331129813431092,54,22.753813248286885,22.866316837599737,0.8927977271003217,54,18.518002786432707,17.643853930749504,2.4629793110835467,54,2385328867.1311483,842013715.3883286,0.35299690830515307,23.038022807480097
24.0,25.8,24.9,22.51680037691767,22.434377114685233,1.5737530540685203,54,23.008422024270256,23.060298132357005,0.9956856366543669,54,18.79582896264282,17.83734177413471,2.3513815267449045,54,1593181597.1319685,519520496.40465975,0.3260899431300838,23.038022807480097
24.6,26.4,25.5,22.762038701173683,22.716965087844923,1.3677503423583208,54,22.854725911961744,22.896382762067955,0.847424490160612,54,18.694777260093776,18.628434957566203,1.8182186194071959,54,1574043747.6253812,325653687.3046151,0.20688985791906966,23.038022807480097
25.2,27.0,26.1,22.76250405871548,22.331834919931858,1.2989069238946576,54,23.019098352449344,23.02114947878861,0.6827918764692344,54,18.46717774324603,17.880145341581944,1.9712261775447006,54,2630442411.8348217,984244280.4138036,0.37417442631913017,23.038022807480097
25.8,27.6,26.700000000000003,22.401656712949002,22.3113014188096,0.9722511322688788,54,22.636899917728552,22.623784696376514,0.611960108471606,54,18.395439606349687,17.96377478010585,1.7066972110130145,54,2308402342.4630184,690583877.0803108,0.2991609670363927,23.038022807480097
26.4,28.2,27.299999999999997,22.391347915504348,22.295946124264372,0.9782362855365795,54,22.611346539477832,22.569698071813363,0.6188586005020933,54,18.798738186203774,18.771190699297957,1.7750223942212469,54,1624483993.5526981,249714296.2766483,0.15371914852206736,23.038022807480097
27.0,28.8,27.9,22.38379966512916,22.472686639428414,1.3644739242194608,54,22.49343784056724,22.485367331972064,0.7227269296341766,54,18.87254766314528,18.7790053611015,1.600179749457817,54,1777234858.1717734,712411342.6178733,0.4008537978771837,23.038022807480097
