method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
incident_direction_filtered,505,16.833333333333332,2.95,25.35,22.400000000000002,2,4.416855495325777
incident_direction_filtered,506,16.866666666666667,3.1500000000000004,25.55,22.4,2,4.410097647660325
incident_direction_filtered,507,16.9,3.35,25.75,22.4,2,4.402300567745826
incident_direction_filtered,508,16.933333333333334,3.5500000000000003,25.950000000000003,22.400000000000002,2,4.393589843066737
incident_direction_filtered,509,16.966666666666665,3.7,26.150000000000002,22.450000000000003,2,4.384128749006068
incident_direction_filtered,510,17.0,3.9000000000000004,26.35,22.450000000000003,2,4.374109695439184
incident_direction_filtered,511,17.033333333333335,4.1000000000000005,26.55,22.45,2,4.363744814657888
incident_direction_filtered,512,17.066666666666666,4.3,26.75,22.45,2,4.353256676646651
incident_direction_filtered,513,17.1,4.5,27.0,22.5,2,4.342870052484374
incident_direction_filtered,514,17.133333333333333,4.7,27.200000000000003,22.500000000000004,2,4.332805470715576
incident_direction_filtered,515,17.166666666666668,4.9,27.400000000000002,22.5,2,4.323275046284895
incident_direction_filtered,516,17.2,5.1000000000000005,27.6,22.5,2,4.3144807427504235
incident_direction_filtered,517,17.233333333333334,5.25,27.8,22.55,2,4.306614900759643
incident_direction_filtered,518,17.266666666666666,5.45,28.0,22.55,2,4.299862575523093
incident_direction_filtered,519,17.3,5.65,28.25,22.6,2,4.294405012941112
incident_direction_filtered,520,17.333333333333332,5.8500000000000005,28.450000000000003,22.6,2,4.2904234841365865
incident_direction_filtered,521,17.366666666666667,6.050000000000001,28.650000000000002,22.6,2,4.288102699539351
incident_direction_filtered,522,17.4,6.2,28.85,22.650000000000002,2,4.287633126066975
incident_direction_filtered,523,17.433333333333334,6.4,29.05,22.65,2,4.289211708790686
incident_direction_filtered,524,17.466666666666665,6.6000000000000005,29.25,22.65,2,4.293040716825977
incident_direction_filtered,525,17.5,6.75,29.5,22.75,2,4.299324654985468
incident_direction_filtered,526,17.533333333333335,6.95,29.700000000000003,22.750000000000004,2,4.3082653758705245
incident_direction_filtered,527,17.566666666666666,7.15,29.900000000000002,22.75,2,4.320055669937546
incident_direction_filtered,528,17.6,7.300000000000001,30.1,22.8,2,4.334871695525474
incident_direction_filtered,529,17.633333333333333,7.5,30.3,22.8,2,4.352864642230996
incident_direction_filtered,530,17.666666666666668,7.65,30.5,22.85,2,4.374152015276791
incident_direction_filtered,531,17.7,7.8500000000000005,30.700000000000003,22.85,2,4.3988089068959395
incident_direction_filtered,532,17.733333333333334,8.0,30.900000000000002,22.900000000000002,2,4.426859603581739
incident_direction_filtered,533,17.766666666666666,8.200000000000001,31.1,22.9,2,4.458269878878077
incident_direction_filtered,534,17.8,8.4,31.3,22.9,2,4.492940343069281
incident_direction_filtered,535,17.833333333333332,8.55,31.5,22.95,2,4.530701254936699
incident_direction_filtered,536,17.866666666666667,8.75,31.700000000000003,22.950000000000003,2,4.571309228782296
incident_direction_filtered,537,17.9,8.9,31.900000000000002,23.0,2,4.614446270241775
incident_direction_filtered,538,17.933333333333334,9.1,32.1,23.0,2,4.6597215274628905
incident_direction_filtered,539,17.966666666666665,9.25,32.300000000000004,23.050000000000004,2,4.706676038717408
incident_direction_filtered,540,18.0,9.450000000000001,32.5,23.049999999999997,2,4.754790594139869
incident_direction_filtered,541,18.033333333333335,9.65,32.7,23.050000000000004,2,4.80349662130694
incident_direction_filtered,542,18.066666666666666,9.8,32.9,23.099999999999998,2,4.852189775073428
incident_direction_filtered,543,18.1,10.0,33.1,23.1,2,4.900245689976864
incident_direction_filtered,544,18.133333333333333,10.200000000000001,33.300000000000004,23.1,2,4.94703716672856
incident_direction_filtered,545,18.166666666666668,10.350000000000001,33.5,23.15,2,4.9919519355502535
incident_direction_filtered,546,18.2,10.55,33.7,23.150000000000002,2,5.034410082402376
incident_direction_filtered,547,18.233333333333334,10.75,33.9,23.15,2,5.073880243542847
incident_direction_filtered,548,18.266666666666666,10.950000000000001,34.050000000000004,23.1,2,5.109893764135825
incident_direction_filtered,549,18.3,11.100000000000001,34.25,23.15,2,5.142056165302478
incident_direction_filtered,550,18.333333333333332,11.3,34.45,23.150000000000002,2,5.170055453931491
