"1 _ 1",,,
"时间","载荷","行程","位移"
"sec","N","mm","mm"
"5.51","840.058","1.832083","1.832083"
"5.52","840.6778","1.835425","1.835425"
"5.53","841.2948","1.838775","1.838775"
"5.54","841.9088","1.842125","1.842125"
"5.55","842.5198","1.845467","1.845467"
"5.56","843.1281","1.8488","1.8488"
"5.57","843.7338","1.852125","1.852125"
"5.58","844.3378","1.855467","1.855467"
"5.59","844.9416","1.858792","1.858792"
"5.6","845.5464","1.862142","1.862142"
"5.61","846.1528","1.865475","1.865475"
"5.62","846.762","1.868808","1.868808"
"5.63","847.374","1.872133","1.872133"
"5.64","847.9872","1.87545","1.87545"
"5.65","848.6004","1.878783","1.878783"
"5.66","849.2126","1.882108","1.882108"
"5.67","849.8222","1.885425","1.885425"
"5.68","850.4286","1.888758","1.888758"
"5.69","851.0312","1.892083","1.892083"
"5.7","851.6292","1.895408","1.895408"
"5.71","852.2224","1.898758","1.898758"
"5.72","852.8114","1.9021","1.9021"
"5.73","853.397","1.905458","1.905458"
"5.74","853.9814","1.908808","1.908808"
"5.75","854.5662","1.912142","1.912142"
"5.76","855.1534","1.915483","1.915483"
"5.77","855.7434","1.918825","1.918825"
"5.78","856.3358","1.922158","1.922158"
"5.79","856.9296","1.925508","1.925508"
"5.8","857.523","1.928842","1.928842"
"5.81","858.1144","1.932183","1.932183"
"5.82","858.7048","1.935508","1.935508"
"5.83","859.2958","1.938833","1.938833"
"5.84","859.8886","1.94215","1.94215"
"5.85","860.4825","1.945483","1.945483"
"5.86","861.0766","1.948808","1.948808"
"5.87","861.6688","1.952125","1.952125"
"5.88","862.26","1.955458","1.955458"
"5.89","862.8502","1.958775","1.958775"
"5.9","863.439","1.9621","1.9621"
"5.91","864.0256","1.965425","1.965425"
"5.92","864.6092","1.968767","1.968767"
"5.93","865.19","1.972108","1.972108"
"5.94","865.7682","1.97545","1.97545"
"5.95","866.3436","1.9788","1.9788"
"5.96","866.9164","1.982133","1.982133"
"5.97","867.4876","1.985475","1.985475"
"5.98","868.0576","1.988808","1.988808"
"5.99","868.6264","1.992142","1.992142"
"6","869.1936","1.995475","1.995475"
"6.01","869.7584","1.998817","1.998817"
"6.02","870.3204","2.002158","2.002158"
"6.03","870.8788","2.005475","2.005475"
"6.04","871.4344","2.0088","2.0088"
"6.05","871.987","2.012125","2.012125"
"6.06","872.5378","2.01545","2.01545"
"6.07","873.0884","2.018767","2.018767"
"6.08","873.639","2.0221","2.0221"
"6.09","874.189","2.025425","2.025425"
"6.1","874.7384","2.028742","2.028742"
"6.11","875.2866","2.032083","2.032083"
"6.12","875.8334","2.035417","2.035417"
"6.13","876.3784","2.038775","2.038775"
"6.14","876.9208","2.042117","2.042117"
"6.15","877.4604","2.045458","2.045458"
"6.16","877.9978","2.0488","2.0488"
"6.17","878.5346","2.052133","2.052133"
"6.18","879.0704","2.055475","2.055475"
"6.19","879.6052","2.058817","2.058817"
"6.2","880.1396","2.062158","2.062158"
"6.21","880.6738","2.0655","2.0655"
"6.22","881.209","2.068833","2.068833"
"6.23","881.745","2.07215","2.07215"
"6.24","882.2816","2.075483","2.075483"
"6.25","882.8186","2.078808","2.078808"
"6.26","883.3552","2.082125","2.082125"
"6.27","883.8886","2.08545","2.08545"
"6.28","884.4182","2.088783","2.088783"
"6.29","884.9456","2.092108","2.092108"
"6.3","885.4734","2.095425","2.095425"
"6.31","886.0024","2.098758","2.098758"
"6.32","886.5322","2.1021","2.1021"
"6.33","887.0612","2.10545","2.10545"
"6.34","887.5886","2.1088","2.1088"
"6.35","888.1148","2.11215","2.11215"
"6.36","888.6392","2.115475","2.115475"
"6.37","889.1628","2.118808","2.118808"
"6.38","889.6854","2.122142","2.122142"
"6.39","890.2068","2.125475","2.125475"
"6.4","890.7264","2.128808","2.128808"
"6.41","891.2442","2.132158","2.132158"
"6.42","891.7596","2.1355","2.1355"
"6.43","892.2726","2.138817","2.138817"
"6.44","892.7838","2.142142","2.142142"
"6.45","893.2944","2.145475","2.145475"
"6.46","893.8056","2.148783","2.148783"
