"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"2.7","337.3562","0.03651667","0.005466","0.005466","0.021864","0.021864"
"2.71","337.9256","0.03668333","0.0054896","0.0054896","0.0219584","0.0219584"
"2.72","338.494","0.03685","0.0055147","0.0055147","0.0220588","0.0220588"
"2.73","339.0602","0.03701667","0.0055406","0.0055406","0.0221624","0.0221624"
"2.74","339.6236","0.03718333","0.0055665","0.0055665","0.022266","0.022266"
"2.75","340.1852","0.03735","0.0055909","0.0055909","0.0223636","0.0223636"
"2.76","340.746","0.03750833","0.005613","0.005613","0.022452","0.022452"
"2.77","341.3058","0.03768333","0.0056329","0.0056329","0.0225316","0.0225316"
"2.78","341.8634","0.03785","0.0056513","0.0056513","0.0226052","0.0226052"
"2.79","342.4172","0.03801667","0.005669","0.005669","0.022676","0.022676"
"2.8","342.9674","0.038175","0.0056869","0.0056869","0.0227476","0.0227476"
"2.81","343.5132","0.03835","0.0057055","0.0057055","0.022822","0.022822"
"2.82","344.0556","0.03851667","0.0057252","0.0057252","0.0229008","0.0229008"
"2.83","344.5958","0.03868333","0.0057462","0.0057462","0.0229848","0.0229848"
"2.84","345.1344","0.03884167","0.0057682","0.0057682","0.0230728","0.0230728"
"2.85","345.672","0.03901667","0.0057908","0.0057908","0.0231632","0.0231632"
"2.86","346.2092","0.03918333","0.0058138","0.0058138","0.0232552","0.0232552"
"2.87","346.746","0.03935","0.0058372","0.0058372","0.0233488","0.0233488"
"2.88","347.2808","0.03950834","0.0058605","0.0058605","0.023442","0.023442"
"2.89","347.8134","0.039675","0.0058832","0.0058832","0.0235328","0.0235328"
"2.9","348.3436","0.03985","0.0059051","0.0059051","0.0236204","0.0236204"
"2.91","348.8708","0.04001667","0.0059258","0.0059258","0.0237032","0.0237032"
"2.92","349.3952","0.040175","0.0059455","0.0059455","0.023782","0.023782"
"2.93","349.9166","0.04035","0.0059646","0.0059646","0.0238584","0.0238584"
"2.94","350.4364","0.04051667","0.0059832","0.0059832","0.0239328","0.0239328"
"2.95","350.9546","0.04068333","0.0060016","0.0060016","0.0240064","0.0240064"
"2.96","351.4704","0.04085","0.0060201","0.0060201","0.0240804","0.0240804"
"2.97","351.9836","0.04101667","0.0060384","0.0060384","0.0241536","0.0241536"
"2.98","352.4934","0.04118333","0.0060566","0.0060566","0.0242264","0.0242264"
"2.99","352.9994","0.04135","0.0060746","0.0060746","0.0242984","0.0242984"
