"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"3.11","1144.201","0.04326667","0.0076548","0.0076548","0.0306192","0.0306192"
"3.12","1146.998","0.04343333","0.0076926","0.0076926","0.0307704","0.0307704"
"3.13","1149.795","0.0436","0.0077297","0.0077297","0.0309188","0.0309188"
"3.14","1152.592","0.04376667","0.0077667","0.0077667","0.0310668","0.0310668"
"3.15","1155.389","0.04393333","0.0078037","0.0078037","0.0312148","0.0312148"
"3.16","1158.186","0.0441","0.0078413","0.0078413","0.0313652","0.0313652"
"3.17","1160.983","0.04426667","0.0078794","0.0078794","0.0315176","0.0315176"
"3.18","1163.779","0.04443333","0.007918","0.007918","0.031672","0.031672"
"3.19","1166.575","0.0446","0.0079573","0.0079573","0.0318292","0.0318292"
"3.2","1169.373","0.04476667","0.0079976","0.0079976","0.0319904","0.0319904"
"3.21","1172.173","0.044925","0.0080385","0.0080385","0.032154","0.032154"
"3.22","1174.972","0.0451","0.00808","0.00808","0.03232","0.03232"
"3.23","1177.771","0.04526667","0.0081214","0.0081214","0.0324856","0.0324856"
"3.24","1180.569","0.04543334","0.0081617","0.0081617","0.0326468","0.0326468"
"3.25","1183.367","0.0456","0.0082002","0.0082002","0.0328008","0.0328008"
"3.26","1186.165","0.04576667","0.0082368","0.0082368","0.0329472","0.0329472"
"3.27","1188.964","0.04593333","0.0082718","0.0082718","0.0330872","0.0330872"
"3.28","1191.763","0.0461","0.0083051","0.0083051","0.0332204","0.0332204"
"3.29","1194.561","0.04626667","0.0083373","0.0083373","0.0333492","0.0333492"
"3.3","1197.358","0.04643333","0.0083692","0.0083692","0.0334768","0.0334768"
"3.31","1200.156","0.0466","0.0084014","0.0084014","0.0336056","0.0336056"
"3.32","1202.954","0.04676667","0.0084339","0.0084339","0.0337356","0.0337356"
"3.33","1205.752","0.046925","0.0084668","0.0084668","0.0338672","0.0338672"
"3.34","1208.55","0.04709167","0.0085009","0.0085009","0.0340036","0.0340036"
"3.35","1211.348","0.04726667","0.0085366","0.0085366","0.0341464","0.0341464"
